[2025-12-18 12:09:48,658] 26 root - INFO - Initiate the data ingestion
[2025-12-18 12:09:54,152] 32 root - INFO - Fetching data from database: NetworkSecurityData, collection: PhishingData
[2025-12-18 12:10:13,927] 34 root - INFO - Number of records fetched: 11055
[2025-12-18 12:10:14,117] 64 root - INFO - Successfully split the data into train and test set
[2025-12-18 12:10:14,117] 65 root - INFO - exited the split_data_as_train_test method of DataIngestion class
[2025-12-18 12:10:14,117] 69 root - INFO - Created the directory for train and test file path
[2025-12-18 12:10:14,171] 75 root - INFO - Train file saved successfully: Artifacts/data_ingestion/ingested/train.csv
[2025-12-18 12:10:14,185] 79 root - INFO - Successfully saved train and test file
[2025-12-18 12:10:14,185] 89 root - INFO - called the dataingestion artifact
[2025-12-18 12:10:14,185] 95 root - INFO - Data ingestion completed successfully
[2025-12-18 12:10:14,185] 28 root - INFO - Data ingestion is completed
[2025-12-18 12:10:14,190] 31 root - INFO - Initiate the data validation
[2025-12-18 12:10:14,190] 66 root - INFO - Data validation has been started
[2025-12-18 12:10:14,190] 70 root - INFO - Reading training and test data for validation
[2025-12-18 12:10:14,206] 74 root - INFO - Validating number of columns in training data
[2025-12-18 12:10:14,206] 31 root - INFO - Required number of columns: 31
[2025-12-18 12:10:14,206] 32 root - INFO - Dataframe has columns: 31
[2025-12-18 12:10:14,206] 31 root - INFO - Required number of columns: 31
[2025-12-18 12:10:14,206] 32 root - INFO - Dataframe has columns: 31
[2025-12-18 12:10:14,206] 84 root - INFO - Number of columns are validated successfully
[2025-12-18 12:10:14,206] 85 root - INFO - Checking Data Drift
[2025-12-18 12:10:14,363] 107 root - INFO - Data validation completed successfully
[2025-12-18 12:10:14,363] 33 root - INFO - Data validation is completed
[2025-12-18 12:10:14,363] 35 root - INFO - Data Transformation is started
[2025-12-18 12:10:14,363] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-12-18 12:10:14,363] 65 root - INFO - Starting data transformation
[2025-12-18 12:10:14,381] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-12-18 12:10:14,381] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-12-18 12:10:14,391] 38 root - INFO - Entered the save_object method of MAinutils class
[2025-12-18 12:10:14,394] 42 root - INFO - Exited the save_object method of Mainutis class
[2025-12-18 12:10:14,395] 38 root - INFO - Entered the save_object method of MAinutils class
[2025-12-18 12:10:14,398] 42 root - INFO - Exited the save_object method of Mainutis class
[2025-12-18 12:10:14,398] 38 root - INFO - Data Transformation is completed
[2025-12-18 12:10:14,398] 39 root - INFO - Model Training Started
